method,scope,metric,value,ci_lo,ci_hi
mechanism,pooled,AUROC,0.6243,0.5494,0.6945
mechanism_col,pooled,AUROC,0.6888,0.6404,0.7322
corr_null,pooled,AUROC,0.8281,0.7568,0.889
gears_null,pooled,AUROC,0.7015,0.6474,0.7477
true_col,pooled,AUROC,0.9999,0.9995,1.0
mechanism,mode:a,Spearman(agree),-0.0174,-0.2202,0.1388
mechanism_col,mode:a,Spearman(agree),0.2209,0.085,0.3976
corr_null,mode:a,Spearman(agree),0.0659,-0.1461,0.2288
gears_null,mode:a,Spearman(agree),0.0194,-0.1049,0.1668
true_col,mode:a,Spearman(agree),0.5882,0.4848,0.6642
mechanism,mode:b,Spearman(agree),,,
mechanism_col,mode:b,Spearman(agree),,,
corr_null,mode:b,Spearman(agree),,,
gears_null,mode:b,Spearman(agree),,,
true_col,mode:b,Spearman(agree),,,
mechanism,mode:both,Spearman(agree),0.1232,-0.0066,0.2737
mechanism_col,mode:both,Spearman(agree),0.0621,-0.1118,0.236
corr_null,mode:both,Spearman(agree),0.2782,-0.002,0.4579
gears_null,mode:both,Spearman(agree),0.0284,-0.117,0.2012
true_col,mode:both,Spearman(agree),0.5718,0.3985,0.7084
mechanism,mode:none,Spearman(agree),,,
mechanism_col,mode:none,Spearman(agree),,,
corr_null,mode:none,Spearman(agree),,,
gears_null,mode:none,Spearman(agree),,,
true_col,mode:none,Spearman(agree),,,
mechanism-corr_null,pooled,AUROC_gap,-0.2025,-0.2959,-0.1014
mechanism-gears_null,pooled,AUROC_gap,-0.0754,-0.172,0.0239
mechanism_col-corr_null,pooled,AUROC_gap,-0.1402,-0.2244,-0.0528
mechanism_col-gears_null,pooled,AUROC_gap,-0.0111,-0.0614,0.0373
