donor,condition,scope,dR2,dR2_covonly,beta,raw_corr,Fabs,Rabs,perm_p,perm_med,perm_hi,nperts,n
donor_1,Rest,trans,2.4476688637366274e-06,2.3885418887182297e-06,-2.4338349176978914e-06,-0.0015605661209033,0.0534488734120411,0.0279101611115442,0.7541528239202658,1.7977200736884103e-05,0.0002126626246137,1365,4093635
donor_1,Rest,full,1.945420993036029e-06,1.899609719296376e-06,-2.1792775116034177e-06,-0.0014438934442714,0.0536862738825168,0.027903387490935,0.8039867109634552,2.113851671771291e-05,0.0002557715506657,1365,4095000
donor_1,Stim8hr,trans,5.093140879915165e-09,7.448148821034508e-07,-7.785245021114496e-08,-0.0008617754430625,0.0724527663443407,0.04852897918394,0.9966777408637874,2.1261474914238136e-05,0.0006089726743724,1343,4027657
donor_1,Stim8hr,full,5.837996070113616e-09,7.25696117621779e-07,-8.347699225897095e-08,-0.0008522740655862,0.0728299463482766,0.0485714128593161,1.0,3.3845093801567424e-05,0.0008022934778379,1343,4029000
donor_1,Stim48hr,trans,2.8138706152317902e-06,2.7149714526887827e-06,1.1228552171769096e-05,0.0016681877755277,0.0332968961417977,0.0521837149655167,0.8604651162790697,4.273296736313423e-05,0.0006025571014894,1356,4066644
donor_1,Stim48hr,full,6.498685153065262e-07,6.819104311025652e-07,-5.324133660899323e-06,-0.0008285733878712,0.033476658592119,0.052234962904385,0.9667774086378738,4.846572994673776e-05,0.000628328852862,1356,4068000
donor_2,Rest,trans,0.0001195613343332,3.71782268831382e-05,2.9261787035192416e-05,0.0061016888094437,0.0993443721590241,0.0332679066952786,0.335548172757475,5.7506272806184e-05,0.0010382266053243,1163,3487837
donor_2,Rest,full,0.0001211029006447,3.756206688203527e-05,2.9538631159969647e-05,0.0060984885066453,0.0997039945232551,0.0332704935785178,0.3521594684385382,6.138108561377326e-05,0.0011477515223223,1163,3489000
donor_2,Stim8hr,trans,2.101639069944936e-05,2.0114079989879152e-05,-1.9267941466414035e-05,-0.004477624371471,0.0904911305220171,0.0534547639349897,0.3820598006644518,1.1639791600040852e-05,0.0001489689663534,1254,3760746
donor_2,Stim8hr,full,2.045646786802275e-05,1.9528396288557867e-05,-1.901976660741316e-05,-0.0044220865545668,0.0907905031651027,0.0534924504788336,0.4717607973421927,1.9212093574590376e-05,0.0002459632170253,1254,3762000
donor_2,Stim48hr,trans,1.178848913839304e-06,1.405216313145688e-06,-1.7032149204280125e-06,-0.001183303137027,0.0406504477592493,0.0436035722275002,0.7441860465116279,4.816077615189831e-06,0.0001049620450744,1213,3637787
donor_2,Stim48hr,full,2.927438718725143e-06,3.310027415551996e-06,-2.687887231749188e-06,-0.0018239875842856,0.0409441271948822,0.04366541412291,0.7275747508305648,1.1848741316753184e-05,0.000234681375653,1213,3639000
donor_3,Rest,trans,3.445569609048208e-07,1.1911551387395517e-06,2.126106851731573e-07,0.0010986613227413,0.1169562095007514,0.0488341224994814,0.9169435215946844,1.444878714594092e-05,0.0003969445654178,1213,3637787
donor_3,Rest,full,2.648501122477904e-07,1.0704241512086172e-06,1.86871809833272e-07,0.0010359642945676,0.1172762143223217,0.0488810146903145,0.9435215946843852,1.777496984345338e-05,0.000568935239939,1213,3639000
donor_3,Stim8hr,trans,0.0001099493357874,8.218642819492304e-05,3.890840949689234e-05,0.0090728977216735,0.1412382525024032,0.063047513256092,0.2292358803986711,2.9034577221024132e-05,0.0004499228465307,1166,3496834
donor_3,Stim8hr,full,0.0001088696644945,8.177602326868884e-05,3.873974333906177e-05,0.0090426318849568,0.1417290285791141,0.0630787041516381,0.3023255813953488,4.625413227665767e-05,0.000576009042555,1166,3498000
donor_3,Stim48hr,trans,1.469402927051103e-07,5.382389811115633e-07,1.0913269978674471e-06,0.0007558338405755,0.0395031381196801,0.0489901405900567,0.9501661129568106,2.02182432529614e-05,0.0002135192044907,1200,3598800
donor_3,Stim48hr,full,1.9455908079706906e-07,5.875749441919105e-07,1.2585860499505476e-06,0.0007717936734827,0.0397179863219682,0.0490296218940567,0.920265780730897,2.1279411541545668e-05,0.0002932435172985,1200,3600000
donor_4,Rest,trans,2.210008091508005e-06,8.909329369270829e-06,1.2719812288504077e-06,0.0030043709587705,0.0687111556328363,0.0312443553548778,0.8106312292358804,1.4765651008713004e-05,0.0002818257957819,1602,4804398
donor_4,Rest,full,2.2425395573310136e-06,9.002494195557947e-06,1.2863010015673278e-06,0.0030093842015309,0.0689803942287807,0.0312798782249111,0.8039867109634552,1.768296512967802e-05,0.0003363682934333,1602,4806000
donor_4,Stim8hr,trans,2.807874196766227e-06,1.9543514826784504e-06,-1.401108857357922e-06,-0.0013963047540806,0.0656409503643728,0.0455334098019557,0.8305647840531561,2.446778606125752e-05,0.0003463176230054,1627,4879373
donor_4,Stim8hr,full,2.7657455025596738e-06,1.980920006326485e-06,-1.3923297212196718e-06,-0.001408613182363,0.0660161043265384,0.045608485004691,0.8970099667774086,5.2336702681893e-05,0.0006333065892468,1627,4881000
donor_4,Stim48hr,trans,4.256184236938776e-06,3.4323543865316308e-06,1.2755101407747245e-05,0.0018963791735141,0.0271496825172957,0.0423875249701476,0.7342192691029901,1.8466472660046867e-05,0.0001663604703586,1686,5056314
donor_4,Stim48hr,full,4.700884370292933e-06,3.93723818205797e-06,1.3428159863528622e-05,0.0019940768424598,0.0273826308327395,0.0423904408363134,0.760797342192691,1.9361444880426785e-05,0.0002199578319286,1686,5058000
