model,split,raw_pearson_median,frac_of_ceiling_median,frac_ci_lo,frac_ci_hi,n_perts
ridge,condition,0.4273163687598463,0.6656634884709076,0.6477329645490137,0.6808948178512031,2179
noncausal,condition,0.24032952488144144,0.3714533836500023,0.3485008184646102,0.39104777213073083,2179
causal,condition,0.35171428941345095,0.5474680867925484,0.534154129743869,0.5619887250103471,2179
jepa_only,condition,0.2543171078383279,0.39385578556500583,0.37356285393084776,0.4154901069670847,2179
jepa_causal,condition,0.35445285111709224,0.5465704254341907,0.534881255445795,0.5555871813690851,2179
fcn,condition,0.0905752151530969,0.14174248013550259,0.1224843219851803,0.1602365837781977,2179
ridge,gene,0.012766572010160106,0.016864444494787762,-0.007042748134414199,0.06570022982247241,315
noncausal,gene,0.22582927845993844,0.30084119466544673,0.21827982931895307,0.3793723200388577,315
causal,gene,0.41999885300367246,0.55502191834464,0.5089514325970242,0.6066620302551403,315
jepa_only,gene,0.30085513395584795,0.38665068707375383,0.3202757767350954,0.4503778159118996,315
jepa_causal,gene,0.41909172055226207,0.5518675357384714,0.5115347435402753,0.5988679582372791,315
fcn,gene,0.13213796963963403,0.1599729644206386,0.05291096861589751,0.22824114213570856,315
