question,metric,scope,value
Q1,top50_of_3000_residual_massfrac,all,0.2582199044751256
Q1,profile_corr_within_condition,all,0.9407915495958963
Q1,profile_corr_cross_condition,all,0.4174900306922185
Q1,profile_corr_overall,all,0.560208626756858
Q1,verdict_structured,all,1.0
Q1,top_residual_gene,ENSG00000205542,0.014934304699141655
Q1,top_residual_gene,ENSG00000111537,0.014860528353956298
Q1,top_residual_gene,ENSG00000275302,0.014705793879956122
Q1,top_residual_gene,ENSG00000227507,0.014267583283833839
Q1,top_residual_gene,ENSG00000164399,0.012349401083283746
Q1,top_residual_gene,ENSG00000277632,0.008810626316467313
Q1,top_residual_gene,ENSG00000211751,0.0074275435711457375
Q1,top_residual_gene,ENSG00000108518,0.006860967346299388
Q1,top_residual_gene,ENSG00000164400,0.006831359810245712
Q1,top_residual_gene,ENSG00000169429,0.006514549193210386
Q1,top_residual_gene,ENSG00000134460,0.005794913915250621
Q1,top_residual_gene,ENSG00000196154,0.005686741704513924
Q1,top_residual_gene,ENSG00000108702,0.005680497715187212
Q1,top_residual_gene,ENSG00000109471,0.005543496639859193
Q1,top_residual_gene,ENSG00000169194,0.005374264786422379
Q1,top_residual_gene,ENSG00000100097,0.004795074665002803
Q1,top_residual_gene,ENSG00000145649,0.00458324528311369
Q1,top_residual_gene,ENSG00000271503,0.003700044781072946
Q1,top_residual_gene,ENSG00000115523,0.0035938338021347296
Q1,top_residual_gene,ENSG00000115165,0.0034118612473086943
Q2,cross_donor_pert_corr,Rest,0.025811840291249933
Q2,pert_resid_CV,Rest,0.2557293110418161
Q2,cross_donor_pert_corr,Stim8hr,0.09116297416999364
Q2,pert_resid_CV,Stim8hr,0.13717666514235438
Q2,cross_donor_pert_corr,Stim48hr,0.06190202926186456
Q2,pert_resid_CV,Stim48hr,0.14304370587508283
Q3,resid_frac_median,donor_1/Rest,0.8392717740088881
Q3,resid_frac_median,donor_2/Rest,0.8329814419319442
Q3,resid_frac_median,donor_3/Rest,0.7766323710027685
Q3,resid_frac_median,donor_4/Rest,0.7917203807047493
Q3,resid_frac_median,donor_1/Stim8hr,0.9528344943974896
Q3,resid_frac_median,donor_2/Stim8hr,0.941727818003261
Q3,resid_frac_median,donor_3/Stim8hr,0.9109244339784753
Q3,resid_frac_median,donor_4/Stim8hr,0.9491700679518242
Q3,resid_frac_median,donor_1/Stim48hr,0.9470158532600081
Q3,resid_frac_median,donor_2/Stim48hr,0.9174851783493968
Q3,resid_frac_median,donor_3/Stim48hr,0.9230890042039956
Q3,resid_frac_median,donor_4/Stim48hr,0.9346552281343887
Q3,transition_peak_median,all,0.06377912711884187
Q3,peak_sign_donors_pos,all,4.0
Q3,effctrl_Stim8hr_vs_Rest,all,0.18505549519418488
Q3,effctrl_Stim48hr_vs_Rest,all,0.12206911755078385
Q3,beta_effect,all,-0.11591370011957848
Q3,q3_fires_transient_RED,all,1.0
Q4,within_pert_cross_cond_SD_median,all,0.11704017936186484
Q5,corr_residprofile_vs_controlvar,all,0.7125095610667398
